Model,rep,rTr,rTs
BaselineMM,8,0.36160160374129,0.104850038282674
EMDs,2,0.999796035581964,0.794011136253202
EMDs,4,0.999787494393906,0.759190675674806
EMDs,7,0.999806667900069,0.79783244162818
EMDs,1,0.999803633083938,0.747655486364223
EMDs,6,0.999792534489436,0.775586868455157
EMDs,10,0.999806622488318,0.783277851628324
EMDs,8,0.999806634742112,0.773100423677922
EMDs,3,0.999803581097982,0.746288946142384
EMDs,5,0.999813716006817,0.773616763803515
EMDs,9,0.999784648764251,0.771245684381299
RxnNormMDs,2,0.999811193770219,0.779391930858187
RxnNormMDs,4,0.999813212824834,0.744438875640142
RxnNormMDs,10,0.999807770344408,0.771206885514723
RxnNormMDs,1,0.99983013760962,0.727165403836746
RxnNormMDs,7,0.999822860671153,0.790406810250265
RxnNormMDs,8,0.999819183651145,0.75854842190714
RxnNormMDs,9,0.999817710018744,0.758433751833916
RxnNormMDs,3,0.999818818911866,0.72562059862312
RxnNormMDs,6,0.999804598833878,0.754039251193933
RxnNormMDs,5,0.999823302939662,0.751328448649478
BaselineMM,8,0.362325500826819,0.102366239082625
BaselineMM,6,0.335389630266009,0.148742588011211
BaselineMM,1,0.349464348984631,0.109757787643845
BaselineMM,3,0.352480628718441,0.115715341704042
BaselineMM,7,0.353923361282256,0.133255956032852
BaselineMM,10,0.368011082860239,0.0754056953169351
BaselineMM,2,0.363723860406205,0.0761663193865592
BaselineMM,4,0.358579397755565,0.0896683892659147
BaselineMM,5,0.350152670933763,0.1232600491639
BaselineMM,9,0.36181209951954,0.107406430514725
EMDs,6,0.999788579059655,0.774583951221945
EMDs,8,0.999801002920255,0.776641821158869
EMDs,10,0.999784389579422,0.782641788788361
EMDs,5,0.99981936515461,0.770062540646507
EMDs,2,0.999786474945922,0.789377920649442
EMDs,4,0.99977703175239,0.763853514268053
EMDs,9,0.999794802383768,0.768180204552154
EMDs,1,0.999812224198803,0.745053161866788
EMDs,3,0.999792530175897,0.742344269069996
EMDs,7,0.999821282364197,0.800326692423254
RxnNormMDs,2,0.999812077482726,0.779853116749003
RxnNormMDs,5,0.999830054353955,0.748312212601829
RxnNormMDs,4,0.999802873549583,0.746182408638234
RxnNormMDs,10,0.99981216178224,0.772061643485871
RxnNormMDs,9,0.999818344993083,0.763738624076691
RxnNormMDs,3,0.999827398100624,0.725399473511424
RxnNormMDs,1,0.99983770220541,0.725528886820298
RxnNormMDs,6,0.999808225930362,0.758774828692086
RxnNormMDs,7,0.999828103206338,0.792723176005472
RxnNormMDs,8,0.999813305086175,0.757847419963373
BaselineMM,3,0.352880325266574,0.103794751112155
BaselineMM,9,0.360740770008537,0.108193285937025
BaselineMM,1,0.34933518490753,0.106046729094131
BaselineMM,2,0.361514578708771,0.0766171767321056
EMDs,1,0.999752947221123,0.735637436395664
EMDs,2,0.999722185156194,0.788425794240015
EMDs,8,0.999734349737797,0.759491490186552
EMDs,7,0.999734470241531,0.783336319638601
RxnNormMDs,8,0.999728033867657,0.735700149874908
RxnNormMDs,2,0.999740678793073,0.749615891024035
BaselineMM,5,0.350525118533592,0.120055796598228
BaselineMM,7,0.352551107974682,0.129288851825233
BaselineMM,8,0.362234122371414,0.104063438946459
BaselineMM,4,0.357917501171586,0.0903860196255654
BaselineMM,6,0.333250144882476,0.146718800546392
BaselineMM,10,0.366966207646222,0.0754709778369102
EMDs,5,0.999723771840196,0.755181876245068
EMDs,4,0.999703131055328,0.737928101226363
EMDs,3,0.999735054550328,0.729769039210402
EMDs,6,0.999714135482985,0.75664145471576
EMDs,10,0.999695161610283,0.784989648750091
EMDs,9,0.999690552805354,0.754553022980229
RxnNormMDs,3,0.999738827045057,0.699770334805639
RxnNormMDs,7,0.99973164072097,0.768894106354254
RxnNormMDs,1,0.999759316984452,0.720514388434972
RxnNormMDs,9,0.999721617963658,0.743894881106481
RxnNormMDs,4,0.999729457170064,0.731510083357837
RxnNormMDs,6,0.999724951872683,0.744445995687282
RxnNormMDs,10,0.999728473957776,0.758209050475144
RxnNormMDs,5,0.999741272458725,0.727473802245811
BaselineMM,7,0.35229699552298,0.132837611192871
BaselineMM,3,0.352193200766775,0.108332475490219
BaselineMM,9,0.361737430549296,0.103988118047467
BaselineMM,6,0.333326679682063,0.149968180581747
BaselineMM,5,0.348654378476065,0.12827490554691
BaselineMM,10,0.366851157901382,0.071673436356503
BaselineMM,2,0.360099536719774,0.0802332751879251
BaselineMM,8,0.360072017773653,0.105741039305524
BaselineMM,4,0.357458014533225,0.0862661951815807
BaselineMM,1,0.348092300144097,0.111207399344923
EMDs,9,0.999673778373689,0.750720620059885
EMDs,4,0.999701819804686,0.757627757571699
EMDs,10,0.999705102415601,0.772602480079621
EMDs,8,0.99973405516807,0.756306765512977
RxnNormMDs,3,0.999769021679411,0.702199699832533
EMDs,6,0.99968494799004,0.752745295687119
EMDs,1,0.999736609340885,0.732735743804182
EMDs,7,0.999723473327431,0.790083304369611
EMDs,5,0.999705721958247,0.750957285288047
EMDs,3,0.999699012079198,0.735363185161044
EMDs,2,0.999717533178762,0.774741542784117
RxnNormMDs,10,0.999683293609128,0.751474294953139
RxnNormMDs,9,0.999753245085496,0.739601053372501
RxnNormMDs,8,0.999733497495968,0.747420036772127
RxnNormMDs,7,0.999751644223999,0.771988623047411
RxnNormMDs,1,0.999755764049707,0.715222113991805
RxnNormMDs,5,0.999750672183856,0.731031478199853
RxnNormMDs,6,0.999760758144921,0.731245758312177
RxnNormMDs,4,0.999721234535888,0.74058020957301
RxnNormMDs,2,0.999741192783178,0.762378660741363
BaselineMM,9,0.360845814371171,0.108920983465007
BaselineMM,1,0.349622648506573,0.112909157638385
BaselineMM,3,0.351827065987277,0.113169580996089
BaselineMM,10,0.368360770950924,0.0764447334000171
BaselineMM,5,0.351190419838996,0.12805081390145
BaselineMM,4,0.359281285965474,0.0898306726671327
BaselineMM,8,0.361404976585309,0.10701853793611
BaselineMM,7,0.354360879715648,0.133263660540005
BaselineMM,2,0.363197078639313,0.0763357002438817
BaselineMM,6,0.335755619319122,0.147510580464957
EMDs,2,0.999794311176463,0.791769593081372
EMDs,5,0.999818424767992,0.772964196143056
RxnNormMDs,7,0.999816837579921,0.78670534434806
EMDs,4,0.999789690598238,0.762603851660787
EMDs,9,0.999793210106838,0.772409066645686
EMDs,8,0.999784731220015,0.770256817494865
EMDs,6,0.999785439170398,0.771131314131335
EMDs,10,0.999793450526796,0.788482736555247
EMDs,7,0.999819895618131,0.800199006762867
EMDs,1,0.99981138748488,0.740494672903597
EMDs,3,0.999805431911282,0.747105937392911
RxnNormMDs,2,0.999808885616268,0.781940340951802
RxnNormMDs,9,0.999817632238969,0.758444631780278
RxnNormMDs,10,0.999819733064892,0.771078265925908
RxnNormMDs,8,0.999822245960889,0.756277047257485
RxnNormMDs,6,0.9998092838299,0.753400902629504
RxnNormMDs,4,0.999821767524962,0.749786952885802
RxnNormMDs,1,0.99982971471817,0.72646817566771
RxnNormMDs,5,0.999829068151171,0.75309156559949
RxnNormMDs,3,0.999828817951858,0.73201543463618
BaselineMM,7,0.353831234024286,0.130985943836317
BaselineMM,8,0.362620185929863,0.100218628232116
BaselineMM,1,0.346299481401795,0.116159329042369
BaselineMM,6,0.336858873430052,0.142845373131297
BaselineMM,4,0.358374915019513,0.0841152523320341
BaselineMM,9,0.359869892500254,0.108525430258669
BaselineMM,3,0.34987021149419,0.117440307654683
BaselineMM,2,0.362700966526513,0.0779760648773441
BaselineMM,10,0.368017582617048,0.0751617038410072
BaselineMM,5,0.349678592062785,0.124631865630091
EMDs,6,0.999717404849309,0.758353329712247
EMDs,1,0.99973951214277,0.734468571907844
EMDs,10,0.999736401962429,0.77490635489588
EMDs,3,0.999724639597018,0.733857806135611
EMDs,2,0.99972868093848,0.773301866593941
EMDs,8,0.999728006077259,0.756097978507852
EMDs,9,0.999728556805329,0.757943524565042
EMDs,4,0.999692201693841,0.762204531811522
EMDs,7,0.999694015619621,0.791532413005028
EMDs,5,0.999698905744425,0.762608182621274
RxnNormMDs,10,0.999720294870822,0.769769420204864
RxnNormMDs,1,0.999777218748764,0.716527729691377
RxnNormMDs,9,0.999725783434119,0.743625460051035
RxnNormMDs,4,0.999713044555894,0.712995583995566
RxnNormMDs,6,0.999747508634857,0.734623229598679
RxnNormMDs,7,0.999737591719198,0.766277378815439
RxnNormMDs,5,0.999735730148898,0.729857188561313
RxnNormMDs,8,0.999715775860773,0.741285897241758
RxnNormMDs,3,0.999769452071621,0.722650543424369
RxnNormMDs,2,0.99970597457465,0.754769991801818
BaselineMM,1,0.349579123671418,0.102353571180623
BaselineMM,7,0.352344098837324,0.133712716516474
BaselineMM,9,0.361593387930745,0.10633195317614
BaselineMM,10,0.366527368270891,0.0840194096460316
BaselineMM,8,0.360289872909577,0.100977185827088
BaselineMM,3,0.35135392654429,0.112508749613406
BaselineMM,2,0.361399315071088,0.0750676572983075
BaselineMM,6,0.336037094936474,0.152822236649548
BaselineMM,4,0.357822735712168,0.0859734168346386
BaselineMM,5,0.352065001617237,0.120210300480625
EMDs,8,0.999671046649332,0.761733400927999
EMDs,9,0.999712967421262,0.762138125337854
EMDs,7,0.999721672768004,0.784448105621996
EMDs,10,0.999693818060703,0.764129852796832
EMDs,4,0.999725816262236,0.748260731469335
EMDs,2,0.999719992813392,0.782448049504729
EMDs,3,0.999721538364349,0.725336951185269
EMDs,6,0.999705841680022,0.762377650801694
EMDs,1,0.999719546026139,0.724650013647935
EMDs,5,0.99971344329195,0.752547901451689
RxnNormMDs,9,0.999702607033072,0.752920700552625
RxnNormMDs,8,0.999721859117161,0.736848516822251
RxnNormMDs,7,0.999731470276994,0.770046840809024
RxnNormMDs,10,0.999742724174385,0.761921321704797
RxnNormMDs,6,0.999723591348056,0.732304131769777
RxnNormMDs,1,0.999744750780352,0.706671645721414
RxnNormMDs,3,0.999721807292027,0.720295507871557
RxnNormMDs,5,0.999707126862547,0.735856939246037
RxnNormMDs,2,0.999738063824827,0.759209908666541
RxnNormMDs,4,0.999725680527543,0.726608177492956
BaselineMM,9,0.36044728498204,0.109739628134215
BaselineMM,5,0.351513451066413,0.122807584790931
BaselineMM,10,0.368271057900333,0.0754296899460958
BaselineMM,7,0.355069824365253,0.133336663108805
BaselineMM,3,0.352129490023624,0.110478568047544
BaselineMM,4,0.358883891633202,0.0896043202055846
BaselineMM,6,0.33572513659055,0.147678275859626
BaselineMM,2,0.364112147489112,0.0764871544516737
BaselineMM,1,0.349239557437058,0.109444346457431
BaselineMM,8,0.361891949551372,0.102499923015116
EMDs,6,0.999797779782095,0.768342635258049
EMDs,5,0.999812867411809,0.768114751684118
EMDs,8,0.999797037018588,0.769297958084595
EMDs,2,0.999781819827772,0.79675559541967
EMDs,1,0.999814211872495,0.743903359120283
EMDs,10,0.999792548979229,0.783391002850224
EMDs,9,0.999805653563112,0.768873587537319
EMDs,3,0.999808241020514,0.74265365035826
EMDs,7,0.999799680931374,0.799180348503061
EMDs,4,0.999787723922143,0.759925729513275
RxnNormMDs,6,0.999807080420117,0.757407640957501
RxnNormMDs,7,0.999831929490977,0.78666705313138
RxnNormMDs,8,0.999813832731601,0.757595466153356
RxnNormMDs,2,0.999808794028174,0.779124211622613
RxnNormMDs,10,0.999815600858062,0.772570870802296
RxnNormMDs,3,0.999816026474326,0.729142589601848
RxnNormMDs,4,0.999822221681821,0.744215480814015
RxnNormMDs,9,0.999801934529841,0.753183533062916
RxnNormMDs,5,0.999830756976359,0.747616193879605
RxnNormMDs,1,0.999831591892571,0.733104035301801
BaselineMM,2,0.363078060697008,0.075489610388244
BaselineMM,6,0.336238093317393,0.147741161021627
BaselineMM,9,0.362322501121158,0.107096921924776
BaselineMM,1,0.350152444298555,0.110110858195976
BaselineMM,3,0.352047054146003,0.109404291443378
BaselineMM,8,0.361392413152499,0.103194382703529
BaselineMM,10,0.369825614228738,0.0739663962052376
BaselineMM,7,0.355346199828474,0.130093212926361
BaselineMM,4,0.358116089060668,0.0902529286275124
BaselineMM,5,0.352044712207534,0.123881832862168
EMDs,2,0.999790118773727,0.799437610428436
